ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ZMB,438090,BCG vaccination received,95.1,1,ZM,Zambia,1992,ZM1992DHS,CH_VACS_C_BCG,93886010,I,268002,268002,Source of vaccination information,Either source,258001,23-Dec,1,1,CHVACSCBCG,,1992,DHS,1123,1134,,,
ZMB,714313,BCG vaccination received,97,1,ZM,Zambia,1992,ZM1992DHS,CH_VACS_C_BCG,93886010,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCBCG,,1992,DHS,1125,1119,,,
ZMB,438091,DPT 1 vaccination received,93.8,1,ZM,Zambia,1992,ZM1992DHS,CH_VACS_C_DP1,93886020,I,268002,268002,Source of vaccination information,Either source,258001,23-Dec,1,1,CHVACSCDP1,,1992,DHS,1123,1134,,,
ZMB,714314,DPT 1 vaccination received,95.9,1,ZM,Zambia,1992,ZM1992DHS,CH_VACS_C_DP1,93886020,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCDP1,,1992,DHS,1125,1119,,,
ZMB,438092,DPT 2 vaccination received,87.5,1,ZM,Zambia,1992,ZM1992DHS,CH_VACS_C_DP2,93886030,I,268002,268002,Source of vaccination information,Either source,258001,23-Dec,1,1,CHVACSCDP2,,1992,DHS,1123,1134,,,
ZMB,714315,DPT 2 vaccination received,91.3,1,ZM,Zambia,1992,ZM1992DHS,CH_VACS_C_DP2,93886030,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCDP2,,1992,DHS,1125,1119,,,
ZMB,438097,DPT 3 vaccination received,76.8,1,ZM,Zambia,1992,ZM1992DHS,CH_VACS_C_DP3,93886040,I,268002,268002,Source of vaccination information,Either source,258001,23-Dec,1,1,CHVACSCDP3,,1992,DHS,1123,1134,,,
ZMB,714317,DPT 3 vaccination received,81.5,1,ZM,Zambia,1992,ZM1992DHS,CH_VACS_C_DP3,93886040,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCDP3,,1992,DHS,1125,1119,,,
ZMB,438098,Polio 1 vaccination received,93.9,1,ZM,Zambia,1992,ZM1992DHS,CH_VACS_C_OP1,93886060,I,268002,268002,Source of vaccination information,Either source,258001,23-Dec,1,1,CHVACSCOP1,,1992,DHS,1123,1134,,,
ZMB,714318,Polio 1 vaccination received,96.5,1,ZM,Zambia,1992,ZM1992DHS,CH_VACS_C_OP1,93886060,I,268002,268002,Source of vaccination information,Either source,258002,24-35,1,0,CHVACSCOP1,,1992,DHS,1125,1119,,,
