ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ZMB,71789,Antenatal care provider: Doctor,5.1,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWDOC,,1992,DHS,3435,3443,,,
ZMB,747674,Antenatal care provider: Doctor,5.2,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWDOC,,1992,DHS,3982,3991,,,
ZMB,13791,Antenatal care provider: Doctor,5.1,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWDOC,,1992,DHS,2627,2639,,,
ZMB,71797,Antenatal care provider: Nurse/midwife,83.4,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNRS,,1992,DHS,3435,3443,,,
ZMB,747670,Antenatal care provider: Nurse/midwife,83.3,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWNRS,,1992,DHS,3982,3991,,,
ZMB,13787,Antenatal care provider: Nurse/midwife,83,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWNRS,,1992,DHS,2627,2639,,,
ZMB,71795,Antenatal care provider: Other health worker,4,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_OHW,83363050,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWOHW,,1992,DHS,3435,3443,,,
ZMB,747669,Antenatal care provider: Other health worker,4.1,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_OHW,83363050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWOHW,,1992,DHS,3982,3991,,,
ZMB,13789,Antenatal care provider: Other health worker,4.3,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_OHW,83363050,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWOHW,,1992,DHS,2627,2639,,,
ZMB,71796,Antenatal care provider: Traditional birth attendant,0.2,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWTBA,,1992,DHS,3435,3443,,,
ZMB,747675,Antenatal care provider: Traditional birth attendant,0.2,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWTBA,,1992,DHS,3982,3991,,,
ZMB,13790,Antenatal care provider: Traditional birth attendant,0.2,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWTBA,,1992,DHS,2627,2639,,,
ZMB,71790,Antenatal care provider: Other,0.9,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWOTH,,1992,DHS,3435,3443,,,
ZMB,747667,Antenatal care provider: Other,0.8,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWOTH,,1992,DHS,3982,3991,,,
ZMB,13792,Antenatal care provider: Other,0.8,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWOTH,,1992,DHS,2627,2639,,,
ZMB,71798,Antenatal care provider: Missing ,0.1,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWMIS,,1992,DHS,3435,3443,,,
ZMB,747672,Antenatal care provider: Missing ,0.1,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWMIS,,1992,DHS,3982,3991,,,
ZMB,13788,Antenatal care provider: Missing ,0.1,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWMIS,,1992,DHS,2627,2639,,,
ZMB,71791,No antenatal care,6.3,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNON,,1992,DHS,3435,3443,,,
ZMB,747668,No antenatal care,6.3,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWNON,,1992,DHS,3982,3991,,,
ZMB,13793,No antenatal care,6.5,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWNON,,1992,DHS,2627,2639,,,
ZMB,71792,Antenatal care: Total,100,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWTOT,,1992,DHS,3435,3443,,,
ZMB,747673,Antenatal care: Total,100,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWTOT,,1992,DHS,3982,3991,,,
ZMB,13795,Antenatal care: Total,100,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWTOT,,1992,DHS,2627,2639,,,
ZMB,71799,Antenatal care from a skilled provider,88.5,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWSKP,,1992,DHS,3435,3443,,,
ZMB,747671,Antenatal care from a skilled provider,88.5,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWSKP,,1992,DHS,3982,3991,,,
ZMB,13794,Antenatal care from a skilled provider,88.2,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWSKP,,1992,DHS,2627,2639,,,
ZMB,71778,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,3435,0,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_NUM,83363130,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNUM,,1992,DHS,,3443,,,
ZMB,746755,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,3982,0,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_NUM,83363130,D,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWNUM,,1992,DHS,,3991,,,
ZMB,18744,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,2627,0,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_NUM,83363130,D,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWNUM,,1992,DHS,,2639,,,
